words,count,sentiment
you,437,0
can,1333,0
longer,5,0
defend,5,0
thi,2859,0
make,11,0
ani,18,0
excus,6,0
reason,7,0
want,24,0
intent,16,0
and,2798,0
racist,33,0
everyon,42,0
look,40,0
sick,336,0
corona,3392,0
day,38,0
just,49,0
feel,28,0
like,57,0
sunday,34,0
again,56,0
close,39,0
presid,35,0
note,39,0
seen,29,0
where,41,0
cross,46,0
out,59,0
replac,1329,0
with,98,0
chines,50,0
viru,1494,0
china,11,0
irrespons,3,0
crimin,3,0
behavior,3,0
the,508,0
wake,3,0
covid,188,0
will,27,0
leav,5,0
it,11,0
weakest,3,0
global,29,0
posit,6,0
mem,3,0
appreci,3,0
both,1295,0
pak,2,0
jokowi,1,0
prabowo,1,0
for,4313,0
their,18,0
move,4,0
fight,19,0
never,5,0
been,7,0
die,8,0
hard,3,0
fan,1,0
nor,1,0
hater,1,0
pl,4,0
dear,10,0
news,8,0
amp,20,0
press,9,0
confer,5,0
around,1299,0
countri,15,0
dure,10,0
emerg,5,0
have,56,0
sign,5,0
langua,4,0
let,22,0
start,13,0
resourc,4,0
thread,3,0
loan,3,0
grant,2,0
small,4,0
busi,3,0
affect,15,0
pleas,27,0
share,17,0
there,334,0
wa,636,0
nasti,318,0
flu,309,0
that,703,0
went,487,0
round,307,0
decemb,308,0
earli,307,0
jan,311,0
tell,311,0
bare,307,0
ppl,310,0
were,318,0
includ,307,0
#,71,0
pttemekcileririskaltinda,2,0
veri,6,0
danger,7,0
don,11,0
come,8,0
post,7,0
offic,2,0
mayorkun,2,0
somewher,2,0
studio,2,0
sing,2,0
ramona,2,0
your,36,0
bodi,2,0
dey,2,0
kill,6,0
person,44,0
ye,4,0
hell,3,0
are,94,0
these,14,0
jack,1,0
donat,1,0
test,196,0
kit,3,0
million,2,0
mask,2,0
wherearethemask,1,0
among,10,0
other,24,0
thing,25,0
what,35,0
show,31,0
they,37,0
use,15,0
term,10,0
coronaviru,32,0
intern,10,0
els,12,0
throw,10,0
dick,21,0
bigger,39,0
than,42,0
funer,1,0
when,25,0
hear,2,0
messi,1,0
drop,2,0
rate,4,0
sofascor,1,0
week,29,0
fuck,46,0
pandem,35,0
not,81,0
hamstr,25,0
strain,25,0
proof,10,0
tactic,10,0
trump,40,0
tri,43,0
bait,11,0
into,15,0
over,22,0
hi,39,0
raci,10,0
non,3,0
content,2,0
patriot,1,0
missil,1,0
overus,1,0
middl,1,0
east,3,0
give,4,0
yourself,3,0
break,12,0
from,54,0
cove,1,0
holi,39,0
shit,48,0
hate,45,0
everi,46,0
video,44,0
wasn,6,0
vain,1,0
eschew,1,0
wear,2,0
glass,1,0
obvious,3,0
need,18,0
font,1,0
wouldn,5,0
big,13,0
onli,2,0
man,32,0
who,15,0
save,3,0
somebodi,1,0
check,3,0
cte,4,0
disgust,4,0
but,29,0
clutch,2,0
our,17,0
pearl,2,0
riff,2,0
bebest,2,0
activ,4,0
american,9,0
photo,13,0
brief,12,0
paper,5,0
today,14,0
written,7,0
sharpi,5,0
incompet,29,0
asshol,21,0
year,1294,0
old,2,0
stepmom,2,0
admit,2,0
memori,3,0
hospit,10,0
bellevil,2,0
illinoi,2,0
last,4,0
night,3,0
fever,3,0
cough,8,0
she,9,0
said,13,0
her,9,0
becaus,34,0
hasn,3,0
travel,4,0
had,4,0
talk,5,0
prior,2,0
noth,7,0
wrong,4,0
age,5,0
set,2,0
jojo,1,0
psa,1,0
song,1,0
new,359,0
rington,1,0
must,6,0
bring,2,0
taiwan,3,0
fulli,1,0
now,24,0
date,1,0
ha,30,0
case,18,0
despit,1,0
proxim,2,0
lakh,4,0
daili,3,0
wager,1,0
domest,4,0
help,23,0
carpent,1,0
cleaner,1,0
plumber,1,0
spot,1,0
boy,1,0
etc,1,0
lose,1,0
livelihood,1,0
due,6,0
soc,1,0
get,55,0
one,2271,0
ohio,3,0
student,10,0
spring,7,0
florida,2,0
end,16,0
gon,12,0
kano,1,0
state,1,0
contact,2,0
suspect,1,0
outbreak,7,0
imam,1,0
wada,1,0
bello,1,0
bashir,1,0
repugn,4,0
whatev,4,0
say,23,0
sandiego,4,0
nigga,5,0
walk,6,0
club,3,0
after,12,0
epidem,4,0
hand,3,0
wash,2,0
time,1313,0
caus,15,0
bomboclaat,1,0
smoke,4,0
unless,5,0
got,4,0
stay,13,0
backkkkk,3,0
problem,3,0
go,11,0
through,182,0
commit,1,0
suicid,1,0
era,1,0
run,4,0
away,2,0
weeb,1,0
sit,1,0
home,1305,0
tweet,2,0
about,14,0
watch,4,0
anim,4,0
illeg,1,0
site,1,0
mf,1,0
worri,4,0
bill,6,0
hemmer,2,0
fox,3,0
doctor,7,0
stop,44,0
within,1,0
chloroquin,4,0
shock,1,0
piss,30,0
could,29,0
ask,8,0
cop,3,0
notic,4,0
sinc,4,0
sent,3,0
peopl,31,0
more,3,0
violenc,3,0
withou,3,0
gener,11,0
name,11,0
folk,11,0
love,10,0
call,21,0
everybodi,8,0
under,9,0
millenni,17,0
hyderabad,1,0
women,1,0
fell,1,0
pit,1,0
open,3,0
drainag,1,0
prizadiguda,1,0
rain,1,0
condit,3,0
telangana,1,0
symptom,5,0
difficulti,2,0
breath,2,0
tight,1,0
chest,1,0
anxieti,1,0
tightn,1,0
republican,1,0
senat,1293,0
vote,3875,0
relief,2,0
here,192,0
elect,1,0
inhoff,1,0
blac,1,0
think,10,0
happen,1,0
premier,1,0
leagu,1,0
would,2,0
serious,2,0
punch,1,0
fucker,1,0
stupid,5,0
face,3,0
realli,8,0
sincer,4,0
class,8,0
prime,1,0
minist,3,0
done,5,0
commend,1,0
job,3,0
togeth,7,0
saarc,1,0
combat,1,0
ram,1,0
releas,2,0
gurley,1,0
ayo,1,0
nfl,1,0
tire,15,0
all,1324,0
comment,1,0
unwel,1,0
them,7,0
men,1,0
south,3,0
pollen,1,0
might,1,0
which,5,0
area,3,0
probabl,1,0
complet,3,0
lockdown,2,0
miss,9,0
boyfriend,2,0
god,36,0
vir,6,0
whi,22,0
should,7,0
right,5,0
fullest,1,0
extent,1,0
possibl,3,0
epidemiologist,1,0
buzzfe,1,0
pwned,1,0
via,5,0
someon,4,0
know,8,0
find,3,0
solac,2,0
fact,5,0
suppos,3,0
decreas,1,0
spend,3,0
taken,3,0
off,16,0
sober,1,0
closebord,1,0
great,3,0
work,5,0
wapo,2,0
photograph,2,0
came,6,0
back,8,0
few,5,0
minut,2,0
ago,1294,0
chang,4,0
cuz,2,0
enter,3,0
abj,2,0
lot,2,0
world,6,0
dumb,3,0
blind,1,0
fold,1,0
guy,9,0
shoe,1,0
lace,1,0
embarrass,1,0
pakistan,5,0
appeal,3,0
west,1,0
write,1,0
debt,2,0
poor,2,0
nation,5,0
doesn,6,0
medica,1,0
lowkey,1,0
won,4,0
loud,1,0
felt,2,0
imag,2,0
life,5,0
bit,1,0
better,3,0
anyon,4,0
shoot,3,0
shot,3,0
instead,2,0
govt,5,0
prevent,7,0
shameless,2,0
congress,1,0
do,6,0
rahul,1,0
gandhi,1,0
fat,22,0
white,17,0
smell,11,0
bitch,14,0
took,13,0
motherfuckin,11,0
schedul,11,0
racism,19,0
blame,10,0
deflect,9,0
misinform,7,0
plan,9,0
mere,7,0
error,7,0
thank,4,0
brother,3,0
itali,9,0
first,6,0
top,2,0
death,9,0
list,2,0
virus,2,0
boom,2,0
fast,2,0
medic,3,0
facil,2,0
also,4,0
good,6,0
asia,2,0
neighbor,2,0
worst,2,0
govern,14,0
care,1295,0
pay,3,0
rent,1,0
car,1,0
credit,3,0
card,1,0
water,1,0
electr,1,0
account,1,0
ralli,1,0
keep,7,0
base,3,0
engag,1,0
doe,1,0
zuckl,1,0
safe,1,0
bento,2,0
box,2,0
mom,3,0
tiktok,3,0
na,19,0
kid,5,0
aren,4,0
school,8,0
teach,2,0
sorri,8,0
speech,2,0
power,2,0
point,3,0
present,1,0
cancel,6,0
everyth,5,0
goal,1,0
refund,3,0
voluntari,1,0
vacat,3,0
hunger,2,0
poverti,2,0
wors,2,0
significantli,1,0
ignor,1,0
precaut,2,0
forc,5,0
shut,3,0
down,6,0
soon,5,0
real,3,0
actual,1,0
corrupt,1,0
focus,1,0
entir,2,0
correct,1,0
carrier,1,0
desert,1,0
how,197,0
difficult,1,0
situat,3,0
well,5,0
friend,10,0
doubl,1,0
jeopardi,1,0
afraid,2,0
sabi,1,0
itch,1,0
insid,2,0
unscrach,1,0
pledg,8,0
strictli,6,0
follow,10,0
janta,8,0
curfew,10,0
frm,6,0
strengthen,7,0
india,15,0
