words,count,sentiment
here,93,1
delet,18,1
scene,18,1
from,46,1
twd,18,1
special,19,1
corona,1205,1
viru,531,1
wuhan,2,1
ha,19,1
been,12,1
complet,3,1
quarantin,3,1
for,1545,1
over,13,1
week,5,1
peopl,27,1
are,35,1
still,5,1
go,3,1
about,8,1
their,9,1
daili,1,1
live,7,1
normal,2,1
thi,1005,1
pure,1,1
fantasi,1,1
good,19,1
came,7,1
china,14,1
pretti,1,1
much,5,1
ani,5,1
germ,1,1
that,286,1
want,35,1
enter,2,1
bodi,3,1
these,16,1
pass,1,1
hour,3,1
all,474,1
be,6,1
shot,2,1
henni,1,1
but,8,1
measur,457,1
enough,6,1
don,7,1
think,9,1
bed,1,1
capac,1,1
not,17,1
how,76,1
the,178,1
whole,7,1
facil,1,1
set,3,1
asid,1,1
they,16,1
tri,6,1
spur,4,1
cultur,5,1
war,6,1
distract,4,1
own,7,1
incompet,5,1
you,143,1
notic,9,1
them,11,1
fire,4,1
professi,4,1
dick,4,1
bigger,3,1
than,8,1
gener,31,1
name,30,1
becaus,35,1
folk,29,1
love,33,1
call,32,1
everybodi,29,1
and,1023,1
under,30,1
millenni,58,1
#,63,1
cldn,1,1
wind,1,1
day,7,1
without,1,1
visit,2,1
rggh,1,1
check,1,1
health,3,1
progress,1,1
covid,86,1
pt,1,1
glad,2,1
see,10,1
holi,2,1
shit,5,1
fake,2,1
news,8,1
admir,1,1
deal,1,1
with,27,1
custom,2,1
sinc,6,1
start,8,1
howev,1,1
today,10,1
jojo,1,1
psa,1,1
song,1,1
new,150,1
rington,1,1
can,482,1
longer,2,1
defend,1,1
make,8,1
excus,1,1
reason,2,1
intent,2,1
racist,3,1
break,4,1
symptom,3,1
wa,236,1
just,22,1
discov,1,1
pjp,1,1
which,6,1
translat,2,1
phat,1,1
juici,1,1
pussi,1,1
year,458,1
old,2,1
pasadena,1,1
first,14,1
person,5,1
die,7,1
after,6,1
florida,1,1
shame,1,1
disneyland,1,1
close,9,1
sooner,1,1
smh,1,1
should,7,1
known,1,1
someth,1,1
like,12,1
would,3,1
happen,2,1
recent,2,1
measl,1,1
outbreak,2,1
anaheim,1,1
everyth,1,1
fine,1,1
world,9,1
until,2,1
liverpool,1,1
decid,9,1
take,9,1
premier,1,1
leagu,1,1
titl,1,1
kobe,1,1
coro,1,1
kick,1,1
depress,1,1
coupl,1,1
notch,1,1
thank,6,1
work,11,1
routin,1,1
void,1,1
now,13,1
effect,3,1
avoid,2,1
phone,1,1
everyon,13,1
nut,1,1
send,3,1
stuff,2,1
dont,1,1
blame,2,1
christ,1,1
anxieti,1,1
drive,70,1
wall,1,1
ask,7,1
cop,5,1
what,15,1
coronaviru,11,1
sent,5,1
home,471,1
more,12,1
domest,7,1
violenc,7,1
said,10,1
withou,5,1
there,115,1
nasti,109,1
flu,108,1
went,176,1
round,108,1
decemb,108,1
earli,108,1
jan,108,1
tell,110,1
bare,109,1
ppl,108,1
were,109,1
sick,110,1
includ,108,1
absolut,7,1
dogshit,7,1
lol,10,1
talk,5,1
soon,3,1
say,10,1
truth,2,1
sky,2,1
prove,4,1
nazi,2,1
paedophil,2,1
elizabeth,2,1
fault,2,1
then,7,1
law,2,1
forc,3,1
respons,5,1
end,5,1
off,13,1
updat,3,1
our,17,1
action,4,1
center,1,1
udpat,1,1
inform,3,1
restaur,1,1
shutdown,1,1
disast,1,1
financ,1,1
option,1,1
smb,1,1
chanc,1,1
nfl,1,1
great,15,1
michael,1,1
irvin,1,1
beer,457,1
caus,3,1
natur,2,1
select,2,1
your,17,1
thing,10,1
wapo,5,1
photograph,5,1
area,4,1
probabl,3,1
need,13,1
lockdown,2,1
write,2,1
kindli,1,1
bring,1,1
attent,2,1
potenti,3,1
case,19,1
ibadan,2,1
resid,1,1
akobo,1,1
watch,5,1
show,2,1
whi,2,1
right,7,1
stay,13,1
fullest,1,1
extent,1,1
possibl,2,1
help,7,1
one,806,1
yho,1,1
polic,1,1
corner,1,1
witkoppen,1,1
main,1,1
huge,3,1
pleas,11,1
fuck,8,1
quickli,5,1
carri,6,1
enjoy,5,1
summer,6,1
fest,5,1
info,2,1
let,8,1
keep,8,1
fit,2,1
when,7,1
post,10,1
swim,2,1
assess,3,1
bump,2,1
dot,2,1
lowkey,1,1
have,18,1
won,1,1
out,10,1
loud,3,1
felt,1,1
imag,1,1
life,4,1
bit,1,1
better,6,1
anyon,2,1
shoot,2,1
twatwaffl,1,1
proper,1,1
term,2,1
everi,3,1
video,3,1
dumbass,1,1
will,15,1
never,2,1
settl,1,1
down,8,1
get,17,1
shitfac,1,1
import,2,1
safeti,2,1
those,2,1
who,6,1
could,4,1
fuckhead,1,1
use,6,1
photo,1,1
zuckl,1,1
safe,5,1
too,3,1
kool,1,1
pictur,2,1
kareenakapoorkhan,1,1
lit,1,1
may,3,1
total,2,1
away,7,1
bento,1,1
box,2,1
mom,2,1
tiktok,1,1
gon,1,1
na,1,1
kid,2,1
aren,1,1
school,4,1
guy,4,1
sound,2,1
holyshit,1,1
nose,1,1
whiskey,1,1
fan,1,1
flyeaglesfli,1,1
got,6,1
mf,2,1
readi,3,1
wha,1,1
bouta,1,1
realli,3,1
ammo,1,1
someon,8,1
board,1,1
veri,7,1
hope,2,1
dear,3,1
media,1,1
stop,4,1
give,2,1
trump,9,1
hi,11,1
racism,2,1
amp,11,1
priorit,1,1
catastroph,1,1
mum,1,1
actual,1,1
upset,1,1
parent,2,1
calm,1,1
she,7,1
feel,2,1
cri,2,1
sir,3,1
look,4,1
similar,1,1
pnumoniya,1,1
rais,1,1
pcv,1,1
ppsv,1,1
vaccin,1,1
power,1,1
miss,1,1
ural,1,1
mountain,1,1
advic,1,1
gal,1,1
gadot,1,1
grandad,1,1
coma,1,1
woke,1,1
turn,4,1
stabl,1,1
condit,1,1
fema,1,1
task,1,1
meet,1,1
perspect,1,1
enorm,1,1
complex,1,1
challeng,4,1
nice,1,1
elect,1,1
offici,1,1
both,457,1
parti,2,1
togeth,3,1
thought,5,1
yday,2,1
india,4,1
time,465,1
word,4,1
alright,1,1
hmu,1,1
beat,3,1
vocal,2,1
mix,1,1
other,7,1
music,1,1
servic,1,1
cheap,1,1
aye,1,1
chick,1,1
orleam,1,1
trash,2,1
test,75,1
kit,1,1
kushner,1,1
oscar,1,1
compani,2,1
given,1,1
most,8,1
ever,3,1
met,1,1
lie,1,1
bitch,3,1
norway,1,1
come,6,1
applaud,1,1
healthi,1,1
dure,5,1
katsina,1,1
suspect,1,1
confirm,3,1
neg,1,1
god,2,1
sha,1,1
allah,1,1
tallahasse,1,1
it,2,1
death,2,1
yesterday,1,1
transfer,1,1
hospit,1,1
even,3,1
though,1,1
articl,1,1
focus,2,1
sole,1,1
femal,1,1
victim,2,1
despit,2,1
signific,1,1
male,1,1
man,3,1
piss,2,1
sunday,2,1
march,1,1
sharp,1,1
countri,5,1
request,1,1
either,1,1
clap,1,1
bang,1,1
utensil,1,1
leav,2,1
charg,2,1
sukkur,2,1
region,2,1
serv,2,1
tough,2,1
crime,2,1
dacoit,2,1
tribal,2,1
feud,2,1
bubbl,2,1
same,5,1
border,1,1
suck,1,1
head,2,1
her,4,1
fureverhom,1,1
tomorrow,1,1
bordercolli,1,1
borderterri,1,1
closedbord,1,1
read,1,1
postcorona,1,1
okay,2,1
namibia,1,1
needl,2,1
yike,1,1
scare,1,1
rightli,1,1
mention,1,1
habitu,1,1
curfew,3,1
threat,1,1
less,1,1
threaten,1,1
face,2,1
chan,1,1
fellow,1,1
shut,1,1
in,1,1
haha,1,1
whose,1,1
into,4,1
town,2,1
aka,1,1
ground,1,1
zero,1,1
pick,1,1
copi,1,1
lago,8,1
doze,4,1
shoulder,4,1
pub,5,1
onc,7,1
touch,6,1
trip,6,1
aliv,1,1
hair,2,1
long,2,1
dye,2,1
again,5,1
alway,3,1
idea,1,1
mate,1,1
mr,1,1
presid,6,1
note,6,1
seen,7,1
where,10,1
cross,7,1
replac,461,1
chines,8,1
unchang,1,1
light,1,1
impact,1,1
enrol,1,1
wright,1,1
emin,1,1
anglican,1,1
testament,1,1
scholar,1,1
onlin,1,1
cours,1,1
paul,1,1
letter,2,1
philippian,1,1
free,2,1
through,69,1
pdt,1,1
tonight,2,1
thur,1,1
drug,4,1
auto,1,1
immun,1,1
diseas,3,1
well,2,1
hard,2,1
anti,4,1
milari,1,1
approv,1,1
bold,1,1
liar,1,1
such,3,1
embarrass,1,1
tweet,5,1
believ,1,1
real,2,1
snipe,2,1
variou,2,1
pandem,4,1
relat,3,1
topic,2,1
elsewher,2,1
collect,3,1
counti,2,1
alon,1,1
wild,1,1
youporn,1,1
do,1,1
fight,2,1
billionair,1,1
stan,1,1
fashion,1,1
cuarentenatot,1,1
coronaciao,2,1
coronavirusesp,1,1
canyaman,1,1
coronavirusoutbreakindia,1,1
cuarentena,1,1
impecc,1,1
messag,1,1
disciplin,1,1
mosqu,1,1
alreadi,4,1
made,1,1
banner,1,1
put,4,1
strateg,1,1
locat,1,1
suspens,1,1
activ,1,1
surpris,2,1
spell,1,1
trumppandem,1,1
trumpfailedamerica,1,1
proof,1,1
tactic,1,1
bait,2,1
raci,1,1
epsiod,1,1
global,4,1
upcom,1,1
econom,2,1
collaps,1,1
hit,2,1
manufactur,1,1
edit,1,1
pink,1,1
blue,1,1
label,1,1
pregnanc,1,1
gender,1,1
reveal,1,1
winter,1,1
coronababi,1,1
grandpar,1,1
fix,1,1
timeee,1,1
hamstr,2,1
strain,2,1
danger,5,1
panic,2,1
far,4,1
exce,2,1
imo,2,1
alloc,2,1
medic,2,1
resourc,2,1
saudi,1,1
arabia,1,1
bad,2,1
human,3,1
crisi,3,1
cuz,1,1
next,1,1
snowflak,1,1
issu,1,1
best,7,1
handl,1,1
modi,1,1
govt,2,1
feminist,1,1
piec,1,1
knowledg,1,1
colleg,1,1
student,1,1
exactli,1,1
spring,2,1
celeb,1,1
part,1,1
posit,3,1
view,1,1
full,1,1
via,1,1
impress,1,1
second,1,1
popul,1,1
rel,1,1
quick,1,1
shout,1,1
acoust,1,1
treat,1,1
booth,1,1
studio,1,1
broadcast,1,1
spec,1,1
equip,1,1
blackh,1,1
indonesia,1,1
sens,1,1
heat,2,1
finna,2,1
kill,2,1
lmao,5,1
amaz,1,1
high,2,1
risk,1,1
diabet,1,1
smoke,1,1
yet,1,1
morn,1,1
care,459,1
yeah,1,1
couldn,1,1
eat,1,1
xma,1,1
dinner,1,1
liter,398,1
cardi,397,1
voic,397,1
glen,68,1
island,68,1
park,68,1
rochel,68,1
york,69,1
isn,2,1
allow,2,1
place,3,1
busi,1,1
insid,1,1
retir,1,1
etc,1,1
prevent,2,1
spread,4,1
base,1,1
older,1,1
laugh,2,1
yungbludfridgeart,1,1
ili,1,1
bro,2,1
also,3,1
unicorn,1,1
addit,1,1
anit,1,1
fridg,1,1
deflect,2,1
classic,1,1
mitig,1,1
support,3,1
frontlin,3,1
palestinian,1,1
child,1,1
mila,1,1
bethlehem,1,1
defeat,1,1
return,1,1
bosom,1,1
punjab,1,1
techniqu,1,1
contact,1,1
trace,1,1
screen,1,1
rare,1,1
virus,1,1
between,1,1
